"","书名","作者","出版社","出版日期","评分"
"194","哈姆莱特","[英] 莎士比亚 "," 人民文学出版社 "," 2001-1 ","8.5"
"195","斯通纳","[美] 约翰·威廉斯 "," 上海人民出版社 "," 2016-1 ","8.8"
"196","占星术杀人魔法","[日] 岛田庄司 "," 新星出版社 "," 2008-9 ","8.3"
"197","台北人","白先勇 "," 广西师范大学出版社 "," 2010-10 ","8.9"
"198","舞！舞！舞！","[日] 村上春树 "," 上海译文出版社 "," 2002-6 ","8.3"
"199","浪潮之巅","吴军 "," 电子工业出版社 "," 2011-8 ","9.1"
"200","雾都孤儿","[英]狄更斯 "," 上海译文出版社 "," 1991-7 ","8.1"
"201","动物凶猛","王朔 "," 中国电影出版社 "," 2004年02月 ","8.3"
"202","子不语1","夏达 "," 新世纪出版社 "," 2009-12 ","9.0"
"203","新参者","[日] 东野圭吾 "," 南海出版公司 "," 2011-9 ","8.4"
"204","小姨多鹤","严歌苓 "," 作家出版社 "," 2008-4 ","8.6"
"205","高效能人士的七个习惯（精华版）","[美] 史蒂芬·柯维 "," 中国青年出版社 "," 2011-6 ","8.2"
"206","爱的艺术","[美] 艾·弗洛姆 "," 上海译文出版社 "," 2008-4 ","8.8"
"207","罗杰疑案","[英] 阿加莎·克里斯蒂 "," 人民文学出版社 "," 2006-5 ","8.9"
"208","夹边沟记事","杨显惠 "," 花城出版社 "," 2008-09 ","9.2"
"209","白银时代","王小波 "," 花城出版社 "," 1997-5 ","8.4"
"210","琅琊榜","海宴 "," 朝华出版社 "," 2007-12 ","8.5"
"211","动物庄园","（英）乔治·奥威尔 "," 上海人民出版社 "," 2000-08 ","9.1"
"212","观念的水位","刘瑜 "," 浙江大学出版社 "," 2013-1 ","8.3"
"213","枪炮、病菌与钢铁","[美] 贾雷德·戴蒙德 "," 上海世纪出版集团 "," 2006-4-1 ","8.8"
"214","一个叫欧维的男人决定去死","[瑞典] 弗雷德里克·巴克曼 "," 四川文艺出版社 "," 2015-12 ","9.0"
"215","红拂夜奔","王小波 "," 江苏文艺出版社 "," 2005-1 ","8.6"
"216","巨流河","齐邦媛 "," 生活·读书·新知三联书店 "," 2010-10 ","8.7"
"217","告白","湊佳苗 "," 時報文化 "," 2009-8 ","8.6"
"218","中国大历史","黄仁宇 "," 生活·读书·新知三联书店 "," 2007-2 ","8.3"
"219","寻羊冒险记","[日] 村上春树 "," 上海译文出版社 "," 2001-8 ","8.1"
"220","云中歌1","桐华 "," 作家出版社 "," 2007-9 ","8.0"
"221","来不及说我爱你","匪我思存 "," 新世界出版社 "," 2006-9 ","8.1"
"222","相约星期二","[美] 米奇·阿尔博姆 "," 上海译文出版社 "," 2007-7 ","8.4"
"223","带一本书去巴黎","林达 "," 生活·读书·新知三联书店 "," 2002-5 ","8.5"
"224","可爱的洪水猛兽","韩寒 "," 万卷出版公司 "," 2009-08-01 ","8.1"
"225","退步集","陈丹青 "," 广西师范大学出版社 "," 2005-1 ","8.1"
